Binomial,Frecuencia
Vanilla planifolia,6
Abies religiosa,3
Agave cupreata,3
Agave salmiana,3
Dahlia coccinea,3
Theobroma bicolor,3
Carnegiea gigantea,2
Mammillaria bocasana,2
Rhizophora mangle,2
Acer negundo,1
Agave aurea,1
Agave kerchovei,1
Agave marmorata,1
Agave potatorum,1
Agave tequilana,1
Annona purpurea,1
Arabidopsis thaliana,1
Artemisia absinthium,1
Avicennia germinans,1
Buddleja cordata,1
Cirsium ehrenbergii,1
Coffea arabica,1
Echinocactus grusonii,1
Fagus mexicana,1
Ferocactus latispinus,1
Ferocactus uncinatus,1
Fraxinus udhei,1
Juniperus californica,1
Laelia albida,1
Laelia gouldiana,1
Laelia speciosa,1
Lamiaceae del,1
Lamiaceae mexicanas,1
Lavandula intermedia,1
Lupinus montanus,1
Magnolia pacifica,1
Mammillaria albiflora,1
Mammillaria elongata,1
Mammillaria guelzowiana,1
Mammillaria herrerae,1
Mammillaria magnimamma,1
Mammillaria parkinsonii,1
Mammillaria serie,1
Opuntia ficus-indica,1
Passiflora conzattiana,1
Pinus hartwegii,1
Pinus subsección,1
Quercus castanea,1
Quercus crassipes,1
Quercus cualensis,1
Quercus frutex,1
Quercus laeta,1
Quercus tuitensis,1
Ricinus communis,1
Salvia apiana,1
Salvia hispanica,1
Salvia polinizadas,1
Salvia subg,1
Salvia vazquezii,1
Solanum polinizadas,1
Solanum rostratum,1
Stenocereus queretaroensis,1
Stenocereus ubicadas,1
Yucca periculosa,1
